uniCode,parent,Tag,Name,num_childs,SizeLOC,Num_Code_Blocks,num_variables,num_calls,num_read_operations,num_write_operations,num_recursive_calls,num_local_calls,num_external_calls,Nested_Call_Depth,List_of_Code_Blocks
119-0-0-0,,C,backend.commands.vacuumlazy.c,13,1146,12,279,57,150,129,0,10,47,57,"[2097, 2101, 2135, 2138, 2142, 2144, 2146, 2150, 2156, 2160, 2163, 2165]"
119-0-2095-1,119-0-0-0,D,Assignment,1,1,0,1,0,0,1,0,0,0,0,[]
119-1-0-0,119-0-0-0,F,lazy_vacuum_rel,22,114,1,33,7,22,11,0,2,5,7,[2097]
119-1-2097-1,119-1-0-0,D,Assignment,1,1,0,1,0,0,1,0,0,0,0,[]
119-1-2097-2,119-1-0-0,D,Assignment,1,1,0,1,0,0,1,0,0,0,0,[]
119-1-2097-3,119-1-0-0,D,Assignment,1,1,0,0,1,0,0,0,0,1,1,[]
119-1-2097-4,119-1-0-0,B,if,0,2,0,0,0,0,0,0,0,0,0,[]
119-1-2097-5,119-1-0-0,B,if-else/switch,0,4,0,0,0,0,0,0,0,0,0,[]
119-1-2097-6,119-1-0-0,D,Assignment,2,1,0,2,0,1,1,0,0,0,0,[]
119-1-2097-7,119-1-0-0,D,Assignment,1,3,0,5,1,5,0,0,0,1,1,[]
119-1-2097-8,119-1-0-0,D,Assignment,2,2,0,2,1,1,1,0,0,1,1,[]
119-1-2097-9,119-1-0-0,D,Assignment,1,1,0,1,0,0,1,0,0,0,0,[]
119-1-2097-10,119-1-0-0,D,Assignment,1,1,0,1,0,0,1,0,0,0,0,[]
119-1-2097-11,119-1-0-0,D,Assignment,2,1,0,2,0,1,1,0,0,0,0,[]
119-1-2097-12,119-1-0-0,D,Assignment,1,1,0,1,0,0,1,0,0,0,0,[]
119-1-2097-13,119-1-0-0,D,Assignment,2,1,0,2,0,1,1,0,0,0,0,[]
119-1-2097-14,119-1-0-0,D,Assignment,1,1,0,4,1,4,0,0,1,0,1,[]
119-1-2097-15,119-1-0-0,D,Assignment,3,1,0,3,0,2,1,0,0,0,0,[]
119-1-2097-16,119-1-0-0,B,if,2,8,1,2,1,1,1,0,1,0,1,[2098]
119-1-2098-1,119-1-2097-16,D,Assignment,1,1,0,1,0,0,1,0,0,0,0,[]
119-1-2098-2,119-1-2097-16,D,Assignment,1,1,0,1,1,1,0,0,1,0,1,[]
119-1-2097-17,119-1-0-0,D,Assignment,1,1,0,0,1,0,0,0,0,1,1,[]
119-1-2097-18,119-1-0-0,B,if,0,5,0,0,0,0,0,0,0,0,0,[]
119-1-2097-19,119-1-0-0,D,Assignment,1,4,0,5,1,5,0,0,0,1,1,[]
119-1-2097-20,119-1-0-0,B,if,1,18,1,0,0,0,0,0,0,0,0,[2099]
119-1-2099-1,119-1-2097-20,B,if,0,15,0,0,0,0,0,0,0,0,0,[]
119-1-2097-21,119-1-0-0,B,if,0,2,0,0,0,0,0,0,0,0,0,[]
119-1-2097-22,119-1-0-0,D,Assignment,1,1,0,1,0,1,0,0,0,0,0,[]
119-2-0-0,119-0-0-0,F,lazy_scan_heap,20,483,1,113,27,58,55,0,5,22,27,[2101]
119-2-2101-1,119-2-0-0,D,Assignment,1,1,0,1,0,0,1,0,0,0,0,[]
119-2-2101-2,119-2-0-0,D,Assignment,1,1,0,0,1,0,0,0,0,1,1,[]
119-2-2101-3,119-2-0-0,D,Assignment,2,1,0,2,0,1,1,0,0,0,0,[]
119-2-2101-4,119-2-0-0,D,Assignment,3,4,0,3,1,2,1,0,0,1,1,[]
119-2-2101-5,119-2-0-0,D,Assignment,3,1,0,3,0,2,1,0,0,0,0,[]
119-2-2101-6,119-2-0-0,D,Assignment,4,1,0,4,0,3,1,0,0,0,0,[]
119-2-2101-7,119-2-0-0,D,Assignment,2,2,0,2,0,1,1,0,0,0,0,[]
119-2-2101-8,119-2-0-0,D,Assignment,2,1,0,1,1,0,1,0,0,1,1,[]
119-2-2101-9,119-2-0-0,D,Assignment,2,1,0,2,0,1,1,0,0,0,0,[]
119-2-2101-10,119-2-0-0,D,Assignment,1,1,0,1,0,0,1,0,0,0,0,[]
119-2-2101-11,119-2-0-0,D,Assignment,1,1,0,1,1,1,0,0,1,0,1,[]
119-2-2101-12,119-2-0-0,D,Assignment,1,1,0,1,0,0,1,0,0,0,0,[]
119-2-2101-13,119-2-0-0,L,for/while,24,396,1,76,20,36,40,0,3,17,20,[2102]
119-2-2102-1,119-2-2101-13,D,Assignment,1,1,0,1,0,0,1,0,0,0,0,[]
119-2-2102-2,119-2-2101-13,B,if,2,16,1,5,1,2,3,0,0,1,1,[2103]
119-2-2103-1,119-2-2102-2,D,Assignment,2,2,0,3,1,2,1,0,0,1,1,[]
119-2-2103-2,119-2-2102-2,B,if-else/switch,2,11,1,2,0,0,2,0,0,0,0,[2104]
119-2-2104-1,119-2-2103-2,D,Assignment,1,1,0,1,0,0,1,0,0,0,0,[]
119-2-2104-2,119-2-2103-2,B,if,1,5,1,1,0,0,1,0,0,0,0,[2105]
119-2-2105-1,119-2-2104-2,D,Assignment,1,1,0,1,0,0,1,0,0,0,0,[]
119-2-2102-3,119-2-2101-13,D,Assignment,1,1,0,1,0,0,1,0,0,0,0,[]
119-2-2102-4,119-2-2101-13,B,if,4,14,1,3,1,1,2,0,1,0,1,[2106]
119-2-2106-1,119-2-2102-4,L,for/while,0,4,0,0,0,0,0,0,0,0,0,[]
119-2-2106-2,119-2-2102-4,D,Assignment,1,1,0,1,1,1,0,0,1,0,1,[]
119-2-2106-3,119-2-2102-4,D,Assignment,1,1,0,1,0,0,1,0,0,0,0,[]
119-2-2106-4,119-2-2102-4,D,Assignment,1,1,0,1,0,0,1,0,0,0,0,[]
119-2-2102-5,119-2-2101-13,D,Assignment,1,2,0,1,0,0,1,0,0,0,0,[]
119-2-2102-6,119-2-2101-13,D,Assignment,1,1,0,0,1,0,0,0,0,1,1,[]
119-2-2102-7,119-2-2101-13,D,Assignment,1,1,0,1,0,0,1,0,0,0,0,[]
119-2-2102-8,119-2-2101-13,B,if,8,41,1,10,6,6,4,0,0,6,6,[2107]
119-2-2107-1,119-2-2102-8,D,Assignment,1,1,0,1,1,1,0,0,0,1,1,[]
119-2-2107-2,119-2-2102-8,D,Assignment,1,1,0,1,1,1,0,0,0,1,1,[]
119-2-2107-3,119-2-2102-8,D,Assignment,1,1,0,0,1,0,0,0,0,1,1,[]
119-2-2107-4,119-2-2102-8,B,if,3,8,1,4,0,1,3,0,0,0,0,[2108]
119-2-2108-1,119-2-2107-4,D,Assignment,2,3,0,2,0,1,1,0,0,0,0,[]
119-2-2108-2,119-2-2107-4,D,Assignment,1,1,0,1,0,0,1,0,0,0,0,[]
119-2-2108-3,119-2-2107-4,D,Assignment,1,1,0,1,0,0,1,0,0,0,0,[]
119-2-2107-5,119-2-2102-8,D,Assignment,2,1,0,2,0,1,1,0,0,0,0,[]
119-2-2107-6,119-2-2102-8,D,Assignment,1,1,0,0,1,0,0,0,0,1,1,[]
119-2-2107-7,119-2-2102-8,D,Assignment,1,1,0,0,1,0,0,0,0,1,1,[]
119-2-2107-8,119-2-2102-8,D,Assignment,1,1,0,2,1,2,0,0,0,1,1,[]
119-2-2102-9,119-2-2101-13,B,if,6,27,1,8,4,5,3,0,0,4,4,[2109]
119-2-2109-1,119-2-2102-9,D,Assignment,1,1,0,1,0,0,1,0,0,0,0,[]
119-2-2109-2,119-2-2102-9,D,Assignment,2,1,0,2,0,1,1,0,0,0,0,[]
119-2-2109-3,119-2-2102-9,B,if,2,5,1,1,1,0,1,0,0,1,1,[2110]
119-2-2110-1,119-2-2109-3,D,Assignment,1,1,0,1,0,0,1,0,0,0,0,[]
119-2-2110-2,119-2-2109-3,D,Assignment,1,1,0,0,1,0,0,0,0,1,1,[]
119-2-2109-4,119-2-2102-9,B,if,2,8,1,2,1,2,0,0,0,1,1,[2111]
119-2-2111-1,119-2-2109-4,D,Assignment,1,1,0,2,1,2,0,0,0,1,1,[]
119-2-2111-2,119-2-2109-4,B,if,0,2,0,0,0,0,0,0,0,0,0,[]
119-2-2109-5,119-2-2102-9,D,Assignment,1,1,0,0,1,0,0,0,0,1,1,[]
119-2-2109-6,119-2-2102-9,D,Assignment,1,1,0,2,1,2,0,0,0,1,1,[]
119-2-2102-10,119-2-2101-13,D,Assignment,1,2,0,1,0,0,1,0,0,0,0,[]
119-2-2102-11,119-2-2101-13,D,Assignment,1,1,0,1,0,0,1,0,0,0,0,[]
119-2-2102-12,119-2-2101-13,D,Assignment,1,1,0,1,0,0,1,0,0,0,0,[]
