uniCode,parent,Tag,Name,num_childs,SizeLOC,Num_Code_Blocks,num_variables,num_calls,num_read_operations,num_write_operations,num_recursive_calls,num_local_calls,num_external_calls,Nested_Call_Depth,List_of_Code_Blocks
108-0-0-0,,C,backend.commands.prepare.c,12,799,11,172,12,76,96,0,3,9,12,"[557, 564, 569, 573, 575, 577, 579, 581, 584, 591, 595]"
108-0-555-1,108-0-0-0,D,Assignment,1,1,0,1,0,0,1,0,0,0,0,[]
108-1-0-0,108-0-0-0,F,PrepareQuery,9,105,1,24,3,12,12,0,0,3,3,[557]
108-1-557-1,108-1-0-0,D,Assignment,1,1,0,1,0,0,1,0,0,0,0,[]
108-1-557-2,108-1-0-0,B,if,0,4,0,0,0,0,0,0,0,0,0,[]
108-1-557-3,108-1-0-0,D,Assignment,2,1,0,2,0,1,1,0,0,0,0,[]
108-1-557-4,108-1-0-0,B,if,5,23,1,13,1,6,7,0,0,1,1,[558]
108-1-558-1,108-1-557-4,D,Assignment,1,1,0,1,0,0,1,0,0,0,0,[]
108-1-558-2,108-1-557-4,D,Assignment,1,1,0,1,0,0,1,0,0,0,0,[]
108-1-558-3,108-1-557-4,D,Assignment,2,1,0,2,0,1,1,0,0,0,0,[]
108-1-558-4,108-1-557-4,D,Assignment,1,1,0,1,0,0,1,0,0,0,0,[]
108-1-558-5,108-1-557-4,L,for/while,3,7,1,8,1,5,3,0,0,1,1,[559]
108-1-559-1,108-1-558-5,D,Assignment,2,1,0,2,0,1,1,0,0,0,0,[]
108-1-559-2,108-1-558-5,D,Assignment,2,1,0,3,1,2,1,0,0,1,1,[]
108-1-559-3,108-1-558-5,D,Assignment,3,1,0,3,0,2,1,0,0,0,0,[]
108-1-557-5,108-1-0-0,L,for/while,2,10,1,3,0,2,1,0,0,0,0,[560]
108-1-560-1,108-1-557-5,D,Assignment,3,1,0,3,0,2,1,0,0,0,0,[]
108-1-560-2,108-1-557-5,B,if,0,5,0,0,0,0,0,0,0,0,0,[]
108-1-557-6,108-1-0-0,B,if-else/switch,0,14,2,0,0,0,0,0,0,0,0,"[561, 562]"
108-1-557-7,108-1-0-0,D,Assignment,2,1,0,1,1,0,1,0,0,1,1,[]
108-1-557-8,108-1-0-0,D,Assignment,1,1,0,1,0,0,1,0,0,0,0,[]
108-1-557-9,108-1-0-0,D,Assignment,4,9,0,3,1,3,0,0,0,1,1,[]
108-2-0-0,108-0-0-0,F,ExecuteQuery,15,104,1,28,4,15,13,0,1,3,4,[564]
108-2-564-1,108-2-0-0,D,Assignment,1,1,0,1,0,0,1,0,0,0,0,[]
108-2-564-2,108-2-0-0,D,Assignment,1,1,0,1,0,0,1,0,0,0,0,[]
108-2-564-3,108-2-0-0,D,Assignment,1,1,0,1,0,0,1,0,0,0,0,[]
108-2-564-4,108-2-0-0,B,if,0,2,0,0,0,0,0,0,0,0,0,[]
108-2-564-5,108-2-0-0,B,if,0,2,0,0,0,0,0,0,0,0,0,[]
108-2-564-6,108-2-0-0,B,if,3,11,1,4,1,1,3,0,1,0,1,[565]
108-2-565-1,108-2-564-6,D,Assignment,1,1,0,1,0,0,1,0,0,0,0,[]
108-2-565-2,108-2-564-6,D,Assignment,1,1,0,1,0,0,1,0,0,0,0,[]
108-2-565-3,108-2-564-6,D,Assignment,2,2,0,2,1,1,1,0,1,0,1,[]
108-2-564-7,108-2-0-0,D,Assignment,1,1,0,1,0,0,1,0,0,0,0,[]
108-2-564-8,108-2-0-0,D,Assignment,1,1,0,1,0,0,1,0,0,0,0,[]
108-2-564-9,108-2-0-0,D,Assignment,4,2,0,4,0,3,1,0,0,0,0,[]
108-2-564-10,108-2-0-0,B,if-else/switch,12,39,2,4,0,2,2,0,0,0,0,"[566, 567]"
108-2-566-1,108-2-564-10,D,Assignment,2,1,0,2,0,1,1,0,0,0,0,[]
108-2-566-2,108-2-564-10,D,Assignment,2,1,0,2,0,1,1,0,0,0,0,[]
108-2-566-3,108-2-564-10,D,Assignment,2,1,0,2,0,1,1,0,0,0,0,[]
108-2-566-4,108-2-564-10,B,if,0,4,0,0,0,0,0,0,0,0,0,[]
108-2-566-5,108-2-564-10,D,Assignment,2,1,0,2,0,1,1,0,0,0,0,[]
108-2-566-6,108-2-564-10,B,if,0,6,0,0,0,0,0,0,0,0,0,[]
108-2-566-7,108-2-564-10,D,Assignment,1,1,0,1,0,0,1,0,0,0,0,[]
108-2-566-8,108-2-564-10,D,Assignment,1,1,0,1,0,0,1,0,0,0,0,[]
108-2-566-9,108-2-564-10,D,Assignment,1,1,0,1,0,0,1,0,0,0,0,[]
108-2-566-10,108-2-564-10,D,Assignment,1,1,0,1,0,0,1,0,0,0,0,[]
108-2-567-1,108-2-564-10,D,Assignment,2,1,0,2,0,1,1,0,0,0,0,[]
108-2-567-2,108-2-564-10,D,Assignment,2,1,0,2,0,1,1,0,0,0,0,[]
108-2-564-11,108-2-0-0,D,Assignment,5,6,0,5,0,4,1,0,0,0,0,[]
108-2-564-12,108-2-0-0,D,Assignment,1,1,0,2,2,2,0,0,0,2,2,[]
108-2-564-13,108-2-0-0,D,Assignment,1,1,0,3,1,3,0,0,0,1,1,[]
108-2-564-14,108-2-0-0,D,Assignment,1,1,0,1,0,0,1,0,0,0,0,[]
108-2-564-15,108-2-0-0,B,if,0,2,0,0,0,0,0,0,0,0,0,[]
108-3-0-0,108-0-0-0,F,EvaluateParams,15,100,1,42,3,19,23,0,0,3,3,[569]
108-3-569-1,108-3-0-0,D,Assignment,3,1,0,3,0,2,1,0,0,0,0,[]
108-3-569-2,108-3-0-0,D,Assignment,1,1,0,1,0,0,1,0,0,0,0,[]
108-3-569-3,108-3-0-0,D,Assignment,1,1,0,1,0,0,1,0,0,0,0,[]
108-3-569-4,108-3-0-0,B,if,0,7,0,0,0,0,0,0,0,0,0,[]
108-3-569-5,108-3-0-0,B,if,0,2,0,0,0,0,0,0,0,0,0,[]
108-3-569-6,108-3-0-0,D,Assignment,1,1,0,1,0,0,1,0,0,0,0,[]
108-3-569-7,108-3-0-0,D,Assignment,1,1,0,1,0,0,1,0,0,0,0,[]
108-3-569-8,108-3-0-0,D,Assignment,1,1,0,1,0,0,1,0,0,0,0,[]
108-3-569-9,108-3-0-0,L,for/while,11,42,1,16,3,9,7,0,0,3,3,[570]
108-3-570-1,108-3-569-9,D,Assignment,2,1,0,2,0,1,1,0,0,0,0,[]
108-3-570-2,108-3-569-9,D,Assignment,3,1,0,3,0,2,1,0,0,0,0,[]
108-3-570-3,108-3-569-9,D,Assignment,2,1,0,2,1,1,1,0,0,1,1,[]
108-3-570-4,108-3-569-9,B,if,0,4,0,0,0,0,0,0,0,0,0,[]
108-3-570-5,108-3-569-9,B,if,0,4,0,0,0,0,0,0,0,0,0,[]
108-3-570-6,108-3-569-9,B,if,0,4,0,0,0,0,0,0,0,0,0,[]
108-3-570-7,108-3-569-9,D,Assignment,2,1,0,1,1,0,1,0,0,1,1,[]
108-3-570-8,108-3-569-9,D,Assignment,2,5,0,5,1,4,1,0,0,1,1,[]
108-3-570-9,108-3-569-9,B,if,0,8,0,0,0,0,0,0,0,0,0,[]
108-3-570-10,108-3-569-9,D,Assignment,2,1,0,2,0,1,1,0,0,0,0,[]
108-3-570-11,108-3-569-9,D,Assignment,1,1,0,1,0,0,1,0,0,0,0,[]
108-3-569-10,108-3-0-0,D,Assignment,2,1,0,2,0,1,1,0,0,0,0,[]
108-3-569-11,108-3-0-0,D,Assignment,1,3,0,1,0,0,1,0,0,0,0,[]
108-3-569-12,108-3-0-0,D,Assignment,1,1,0,1,0,0,1,0,0,0,0,[]
108-3-569-13,108-3-0-0,D,Assignment,1,1,0,1,0,0,1,0,0,0,0,[]
108-3-569-14,108-3-0-0,L,for/while,6,14,1,12,0,6,6,0,0,0,0,[571]
108-3-571-1,108-3-569-14,D,Assignment,2,1,0,2,0,1,1,0,0,0,0,[]
108-3-571-2,108-3-569-14,D,Assignment,2,1,0,2,0,1,1,0,0,0,0,[]
108-3-571-3,108-3-569-14,D,Assignment,3,1,0,3,0,2,1,0,0,0,0,[]
108-3-571-4,108-3-569-14,D,Assignment,1,1,0,1,0,0,1,0,0,0,0,[]
108-3-571-5,108-3-569-14,D,Assignment,3,4,0,3,0,2,1,0,0,0,0,[]
108-3-571-6,108-3-569-14,D,Assignment,1,1,0,1,0,0,1,0,0,0,0,[]
108-3-569-15,108-3-0-0,D,Assignment,1,1,0,1,0,1,0,0,0,0,0,[]
108-4-0-0,108-0-0-0,F,InitQueryHashTable,4,11,1,6,0,2,4,0,0,0,0,[573]
108-4-573-1,108-4-0-0,D,Assignment,2,1,0,2,0,1,1,0,0,0,0,[]
108-4-573-2,108-4-0-0,D,Assignment,1,1,0,1,0,0,1,0,0,0,0,[]
108-4-573-3,108-4-0-0,D,Assignment,1,1,0,1,0,0,1,0,0,0,0,[]
108-4-573-4,108-4-0-0,D,Assignment,2,4,0,2,0,1,1,0,0,0,0,[]
108-5-0-0,108-0-0-0,F,FetchPreparedStatementResultDesc,1,5,1,0,0,0,0,0,0,0,0,[575]
108-5-575-1,108-5-0-0,B,if-else/switch,0,4,0,0,0,0,0,0,0,0,0,[]
108-6-0-0,108-0-0-0,F,FetchPreparedStatementTargetList,6,19,1,6,0,2,4,0,0,0,0,[577]
108-6-577-1,108-6-0-0,B,if,0,2,0,0,0,0,0,0,0,0,0,[]
108-6-577-2,108-6-0-0,D,Assignment,1,1,0,1,0,0,1,0,0,0,0,[]
108-6-577-3,108-6-0-0,D,Assignment,1,1,0,1,0,0,1,0,0,0,0,[]
108-6-577-4,108-6-0-0,D,Assignment,2,1,0,2,0,1,1,0,0,0,0,[]
108-6-577-5,108-6-0-0,D,Assignment,1,1,0,1,0,0,1,0,0,0,0,[]
108-6-577-6,108-6-0-0,D,Assignment,1,1,0,1,0,1,0,0,0,0,0,[]
108-7-0-0,108-0-0-0,F,DeallocateQuery,1,4,1,0,0,0,0,0,0,0,0,[579]
108-7-579-1,108-7-0-0,B,if-else/switch,0,4,0,0,0,0,0,0,0,0,0,[]
108-8-0-0,108-0-0-0,F,DropAllPreparedStatements,3,17,1,5,0,2,3,0,0,0,0,[581]
108-8-581-1,108-8-0-0,B,if,0,2,0,0,0,0,0,0,0,0,0,[]
108-8-581-2,108-8-0-0,D,Assignment,2,1,0,2,0,1,1,0,0,0,0,[]
108-8-581-3,108-8-0-0,L,for/while,2,8,1,3,0,1,2,0,0,0,0,[582]
108-8-582-1,108-8-581-3,D,Assignment,1,1,0,1,0,0,1,0,0,0,0,[]
108-8-582-2,108-8-581-3,D,Assignment,2,1,0,2,0,1,1,0,0,0,0,[]
