uniCode,parent,Tag,Name,num_childs,SizeLOC,Num_Code_Blocks,num_variables,num_calls,num_read_operations,num_write_operations,num_recursive_calls,num_local_calls,num_external_calls,Nested_Call_Depth,List_of_Code_Blocks
105-0-0-0,,C,backend.commands.opclasscmds.c,29,2129,28,379,98,169,210,0,12,86,98,"[401, 405, 409, 411, 428, 430, 432, 441, 447, 450, 452, 455, 459, 464, 469, 472, 475, 478, 481, 483, 485, 487, 489, 494, 499, 503, 507, 511]"
105-1-0-0,105-0-0-0,F,OpFamilyCacheLookup,2,29,1,6,1,4,2,0,0,1,1,[401]
105-1-401-1,105-1-0-0,D,Assignment,3,1,0,3,0,2,1,0,0,0,0,[]
105-1-401-2,105-1-0-0,B,if-else/switch,5,23,2,3,1,2,1,0,0,1,1,"[402, 403]"
105-1-402-1,105-1-401-2,D,Assignment,2,1,0,2,0,1,1,0,0,0,0,[]
105-1-402-2,105-1-401-2,D,Assignment,1,5,0,0,1,0,0,0,0,1,1,[]
105-1-403-1,105-1-401-2,D,Assignment,3,1,0,3,0,2,1,0,0,0,0,[]
105-1-403-2,105-1-401-2,B,if,0,2,0,0,0,0,0,0,0,0,0,[]
105-1-403-3,105-1-401-2,D,Assignment,1,3,0,0,1,0,0,0,0,1,1,[]
105-2-0-0,105-0-0-0,F,OpClassCacheLookup,2,29,1,6,1,4,2,0,0,1,1,[405]
105-2-405-1,105-2-0-0,D,Assignment,3,1,0,3,0,2,1,0,0,0,0,[]
105-2-405-2,105-2-0-0,B,if-else/switch,5,23,2,3,1,2,1,0,0,1,1,"[406, 407]"
105-2-406-1,105-2-405-2,D,Assignment,2,1,0,2,0,1,1,0,0,0,0,[]
105-2-406-2,105-2-405-2,D,Assignment,1,5,0,0,1,0,0,0,0,1,1,[]
105-2-407-1,105-2-405-2,D,Assignment,3,1,0,3,0,2,1,0,0,0,0,[]
105-2-407-2,105-2-405-2,B,if,0,2,0,0,0,0,0,0,0,0,0,[]
105-2-407-3,105-2-405-2,D,Assignment,1,3,0,0,1,0,0,0,0,1,1,[]
105-3-0-0,105-0-0-0,F,CreateOpFamily,19,66,1,26,3,10,16,0,0,3,3,[409]
105-3-409-1,105-3-0-0,D,Assignment,2,1,0,1,1,0,1,0,0,1,1,[]
105-3-409-2,105-3-0-0,B,if,0,9,0,0,0,0,0,0,0,0,0,[]
105-3-409-3,105-3-0-0,D,Assignment,2,1,0,2,0,1,1,0,0,0,0,[]
105-3-409-4,105-3-0-0,D,Assignment,2,1,0,2,0,1,1,0,0,0,0,[]
105-3-409-5,105-3-0-0,D,Assignment,1,1,0,1,0,0,1,0,0,0,0,[]
105-3-409-6,105-3-0-0,D,Assignment,1,1,0,1,0,0,1,0,0,0,0,[]
105-3-409-7,105-3-0-0,D,Assignment,1,1,0,1,0,0,1,0,0,0,0,[]
105-3-409-8,105-3-0-0,D,Assignment,1,1,0,1,0,0,1,0,0,0,0,[]
105-3-409-9,105-3-0-0,D,Assignment,4,1,0,4,0,3,1,0,0,0,0,[]
105-3-409-10,105-3-0-0,D,Assignment,2,1,0,2,1,1,1,0,0,1,1,[]
105-3-409-11,105-3-0-0,D,Assignment,1,1,0,1,1,1,0,0,0,1,1,[]
105-3-409-12,105-3-0-0,D,Assignment,1,1,0,1,0,0,1,0,0,0,0,[]
105-3-409-13,105-3-0-0,D,Assignment,1,1,0,1,0,0,1,0,0,0,0,[]
105-3-409-14,105-3-0-0,D,Assignment,2,1,0,2,0,1,1,0,0,0,0,[]
105-3-409-15,105-3-0-0,D,Assignment,1,1,0,1,0,0,1,0,0,0,0,[]
105-3-409-16,105-3-0-0,D,Assignment,1,1,0,1,0,0,1,0,0,0,0,[]
105-3-409-17,105-3-0-0,D,Assignment,2,1,0,2,0,1,1,0,0,0,0,[]
105-3-409-18,105-3-0-0,D,Assignment,1,1,0,1,0,0,1,0,0,0,0,[]
105-3-409-19,105-3-0-0,D,Assignment,1,1,0,1,0,1,0,0,0,0,0,[]
105-4-0-0,105-0-0-0,F,DefineOpClass,52,392,1,86,12,37,49,0,3,9,12,[411]
105-4-411-1,105-4-0-0,D,Assignment,3,2,0,3,0,2,1,0,0,0,0,[]
105-4-411-2,105-4-0-0,D,Assignment,1,1,0,1,0,0,1,0,0,0,0,[]
105-4-411-3,105-4-0-0,B,if,0,3,0,0,0,0,0,0,0,0,0,[]
105-4-411-4,105-4-0-0,D,Assignment,2,3,0,1,1,0,1,0,0,1,1,[]
105-4-411-5,105-4-0-0,B,if,0,5,0,0,0,0,0,0,0,0,0,[]
105-4-411-6,105-4-0-0,D,Assignment,2,1,0,2,0,1,1,0,0,0,0,[]
105-4-411-7,105-4-0-0,D,Assignment,2,1,0,2,0,1,1,0,0,0,0,[]
105-4-411-8,105-4-0-0,D,Assignment,2,1,0,2,0,1,1,0,0,0,0,[]
105-4-411-9,105-4-0-0,B,if,0,2,0,0,0,0,0,0,0,0,0,[]
105-4-411-10,105-4-0-0,D,Assignment,2,1,0,2,0,1,1,0,0,0,0,[]
105-4-411-11,105-4-0-0,D,Assignment,3,1,0,3,0,2,1,0,0,0,0,[]
105-4-411-12,105-4-0-0,D,Assignment,1,1,0,0,1,0,0,0,0,1,1,[]
105-4-411-13,105-4-0-0,B,if,0,4,0,0,0,0,0,0,0,0,0,[]
105-4-411-14,105-4-0-0,D,Assignment,2,1,0,2,1,1,1,0,0,1,1,[]
105-4-411-15,105-4-0-0,B,if-else/switch,6,43,2,5,2,3,2,0,1,1,2,"[412, 413]"
105-4-412-1,105-4-411-15,D,Assignment,2,1,0,3,1,2,1,0,1,0,1,[]
105-4-412-2,105-4-411-15,B,if,0,5,0,0,0,0,0,0,0,0,0,[]
105-4-412-3,105-4-411-15,D,Assignment,2,1,0,2,0,1,1,0,0,0,0,[]
105-4-412-4,105-4-411-15,D,Assignment,1,1,0,0,1,0,0,0,0,1,1,[]
105-4-413-1,105-4-411-15,D,Assignment,2,5,0,1,1,0,1,0,0,1,1,[]
105-4-413-2,105-4-411-15,B,if-else/switch,3,18,2,4,1,3,1,0,1,0,1,"[414, 415]"
105-4-414-1,105-4-413-2,D,Assignment,2,1,0,2,0,1,1,0,0,0,0,[]
105-4-414-2,105-4-413-2,D,Assignment,1,1,0,0,1,0,0,0,0,1,1,[]
105-4-415-1,105-4-413-2,D,Assignment,2,2,0,4,1,3,1,0,1,0,1,[]
105-4-411-16,105-4-0-0,D,Assignment,1,1,0,1,0,0,1,0,0,0,0,[]
105-4-411-17,105-4-0-0,D,Assignment,1,1,0,1,0,0,1,0,0,0,0,[]
105-4-411-18,105-4-0-0,D,Assignment,1,1,0,1,0,0,1,0,0,0,0,[]
105-4-411-19,105-4-0-0,L,for/while,3,103,1,4,0,1,3,0,0,0,0,[416]
105-4-416-1,105-4-411-19,D,Assignment,2,1,0,2,0,1,1,0,0,0,0,[]
105-4-416-2,105-4-411-19,D,Assignment,1,1,0,1,0,0,1,0,0,0,0,[]
105-4-416-3,105-4-411-19,B,if-else/switch,18,94,4,1,0,0,1,0,0,0,0,"[417, 420, 421, 422]"
105-4-417-1,105-4-416-3,B,if,0,6,0,0,0,0,0,0,0,0,0,[]
105-4-417-2,105-4-416-3,B,if-else/switch,4,16,2,4,1,3,1,0,0,1,1,"[418, 419]"
105-4-418-1,105-4-417-2,D,Assignment,2,1,0,2,0,1,1,0,0,0,0,[]
105-4-418-2,105-4-417-2,D,Assignment,2,1,0,2,0,1,1,0,0,0,0,[]
105-4-418-3,105-4-417-2,D,Assignment,2,3,0,4,1,3,1,0,0,1,1,[]
