uniCode,parent,Tag,Name,num_childs,SizeLOC,Num_Code_Blocks,num_variables,num_calls,num_read_operations,num_write_operations,num_recursive_calls,num_local_calls,num_external_calls,Nested_Call_Depth,List_of_Code_Blocks
89-0-0-0,,C,backend.commands.aggregatecmds.c,5,289,4,61,14,30,31,0,0,14,14,"[2275, 2284, 2287, 2289]"
89-1-0-0,89-0-0-0,F,DefineAggregate,16,156,1,32,3,17,15,0,0,3,3,[2275]
89-1-2275-1,89-1-0-0,D,Assignment,1,1,0,1,0,0,1,0,0,0,0,[]
89-1-2275-2,89-1-0-0,D,Assignment,1,1,0,1,0,0,1,0,0,0,0,[]
89-1-2275-3,89-1-0-0,D,Assignment,1,1,0,1,0,0,1,0,0,0,0,[]
89-1-2275-4,89-1-0-0,D,Assignment,1,1,0,1,0,0,1,0,0,0,0,[]
89-1-2275-5,89-1-0-0,D,Assignment,1,1,0,1,0,0,1,0,0,0,0,[]
89-1-2275-6,89-1-0-0,D,Assignment,1,1,0,1,0,0,1,0,0,0,0,[]
89-1-2275-7,89-1-0-0,D,Assignment,3,1,0,3,0,2,1,0,0,0,0,[]
89-1-2275-8,89-1-0-0,D,Assignment,1,1,0,1,0,0,1,0,0,0,0,[]
89-1-2275-9,89-1-0-0,B,if,0,3,0,0,0,0,0,0,0,0,0,[]
89-1-2275-10,89-1-0-0,L,for/while,2,32,1,2,0,1,1,0,0,0,0,[2276]
89-1-2276-1,89-1-2275-10,D,Assignment,2,1,0,2,0,1,1,0,0,0,0,[]
89-1-2276-2,89-1-2275-10,B,if-else/switch,0,23,0,0,0,0,0,0,0,0,0,[]
89-1-2275-11,89-1-0-0,B,if,0,4,0,0,0,0,0,0,0,0,0,[]
89-1-2275-12,89-1-0-0,B,if,0,4,0,0,0,0,0,0,0,0,0,[]
89-1-2275-13,89-1-0-0,B,if-else/switch,7,48,2,10,1,5,5,0,0,1,1,"[2277, 2280]"
89-1-2277-1,89-1-2275-13,B,if,0,4,0,0,0,0,0,0,0,0,0,[]
89-1-2277-2,89-1-2275-13,B,if-else/switch,5,11,2,4,1,1,3,0,0,1,1,"[2278, 2279]"
89-1-2278-1,89-1-2277-2,D,Assignment,1,1,0,1,0,0,1,0,0,0,0,[]
89-1-2278-2,89-1-2277-2,D,Assignment,1,1,0,1,0,0,1,0,0,0,0,[]
89-1-2279-1,89-1-2277-2,D,Assignment,1,1,0,1,0,0,1,0,0,0,0,[]
89-1-2279-2,89-1-2277-2,D,Assignment,1,1,0,1,0,0,1,0,0,0,0,[]
89-1-2279-3,89-1-2277-2,D,Assignment,2,1,0,2,1,1,1,0,0,1,1,[]
89-1-2280-1,89-1-2275-13,D,Assignment,1,1,0,1,0,0,1,0,0,0,0,[]
89-1-2280-2,89-1-2275-13,B,if,0,4,0,0,0,0,0,0,0,0,0,[]
89-1-2280-3,89-1-2275-13,D,Assignment,2,1,0,2,0,1,1,0,0,0,0,[]
89-1-2280-4,89-1-2275-13,D,Assignment,2,1,0,2,0,1,1,0,0,0,0,[]
89-1-2280-5,89-1-2275-13,L,for/while,2,6,1,5,1,3,2,0,0,1,1,[2281]
89-1-2281-1,89-1-2280-5,D,Assignment,2,1,0,2,0,1,1,0,0,0,0,[]
89-1-2281-2,89-1-2280-5,D,Assignment,3,1,0,3,1,2,1,0,0,1,1,[]
89-1-2275-14,89-1-0-0,D,Assignment,2,1,0,2,1,1,1,0,0,1,1,[]
89-1-2275-15,89-1-0-0,B,if,1,11,1,0,0,0,0,0,0,0,0,[2282]
89-1-2282-1,89-1-2275-15,B,if-else/switch,0,7,0,0,0,0,0,0,0,0,0,[]
89-1-2275-16,89-1-0-0,D,Assignment,1,9,0,8,1,8,0,0,0,1,1,[]
89-2-0-0,89-0-0-0,F,RemoveAggregate,12,45,1,16,5,8,8,0,0,5,5,[2284]
89-2-2284-1,89-2-0-0,D,Assignment,2,1,0,2,0,1,1,0,0,0,0,[]
89-2-2284-2,89-2-0-0,D,Assignment,2,1,0,2,0,1,1,0,0,0,0,[]
89-2-2284-3,89-2-0-0,D,Assignment,2,1,0,4,1,3,1,0,0,1,1,[]
89-2-2284-4,89-2-0-0,B,if,1,9,1,1,1,0,1,0,0,1,1,[2285]
89-2-2285-1,89-2-2284-4,D,Assignment,2,4,0,1,1,0,1,0,0,1,1,[]
89-2-2284-5,89-2-0-0,D,Assignment,2,3,0,1,1,0,1,0,0,1,1,[]
89-2-2284-6,89-2-0-0,B,if,0,2,0,0,0,0,0,0,0,0,0,[]
89-2-2284-7,89-2-0-0,B,if,0,5,0,0,0,0,0,0,0,0,0,[]
89-2-2284-8,89-2-0-0,D,Assignment,1,1,0,0,1,0,0,0,0,1,1,[]
89-2-2284-9,89-2-0-0,D,Assignment,1,1,0,1,0,0,1,0,0,0,0,[]
89-2-2284-10,89-2-0-0,D,Assignment,2,1,0,2,0,1,1,0,0,0,0,[]
89-2-2284-11,89-2-0-0,D,Assignment,1,1,0,1,0,0,1,0,0,0,0,[]
89-2-2284-12,89-2-0-0,D,Assignment,1,1,0,2,1,2,0,0,0,1,1,[]
89-3-0-0,89-0-0-0,F,RenameAggregate,13,53,1,12,5,5,7,0,0,5,5,[2287]
89-3-2287-1,89-3-0-0,D,Assignment,2,1,0,1,1,0,1,0,0,1,1,[]
89-3-2287-2,89-3-0-0,D,Assignment,2,1,0,1,1,0,1,0,0,1,1,[]
89-3-2287-3,89-3-0-0,D,Assignment,2,3,0,1,1,0,1,0,0,1,1,[]
89-3-2287-4,89-3-0-0,B,if,0,2,0,0,0,0,0,0,0,0,0,[]
89-3-2287-5,89-3-0-0,D,Assignment,2,1,0,2,0,1,1,0,0,0,0,[]
89-3-2287-6,89-3-0-0,D,Assignment,2,1,0,2,0,1,1,0,0,0,0,[]
89-3-2287-7,89-3-0-0,B,if,0,12,0,0,0,0,0,0,0,0,0,[]
89-3-2287-8,89-3-0-0,B,if,0,3,0,0,0,0,0,0,0,0,0,[]
89-3-2287-9,89-3-0-0,D,Assignment,1,1,0,1,0,0,1,0,0,0,0,[]
89-3-2287-10,89-3-0-0,B,if,0,3,0,0,0,0,0,0,0,0,0,[]
89-3-2287-11,89-3-0-0,D,Assignment,1,1,0,2,1,2,0,0,0,1,1,[]
89-3-2287-12,89-3-0-0,D,Assignment,1,1,0,1,1,1,0,0,0,1,1,[]
89-3-2287-13,89-3-0-0,D,Assignment,1,1,0,1,0,0,1,0,0,0,0,[]
89-4-0-0,89-0-0-0,F,AlterAggregateOwner,1,7,1,1,1,0,1,0,0,1,1,[2289]
89-4-2289-1,89-4-0-0,D,Assignment,2,1,0,1,1,0,1,0,0,1,1,[]
