uniCode,parent,Tag,Name,num_childs,SizeLOC,Num_Code_Blocks,num_variables,num_calls,num_read_operations,num_write_operations,num_recursive_calls,num_local_calls,num_external_calls,Nested_Call_Depth,List_of_Code_Blocks
93-0-0-0,,C,backend.commands.cluster.c,7,1123,6,123,51,67,56,0,5,46,51,"[2578, 2587, 2595, 2601, 2604, 2614]"
93-1-0-0,93-0-0-0,F,cluster,1,142,1,8,11,5,3,0,2,9,11,[2578]
93-1-2578-1,93-1-0-0,B,if-else/switch,15,142,2,8,11,5,3,0,2,9,11,"[2579, 2584]"
93-1-2579-1,93-1-2578-1,D,Assignment,2,1,0,2,1,1,1,0,0,1,1,[]
93-1-2579-2,93-1-2578-1,D,Assignment,1,1,0,1,0,0,1,0,0,0,0,[]
93-1-2579-3,93-1-2578-1,B,if,0,3,0,0,0,0,0,0,0,0,0,[]
93-1-2579-4,93-1-2578-1,B,if,0,4,0,0,0,0,0,0,0,0,0,[]
93-1-2579-5,93-1-2578-1,B,if-else/switch,4,46,2,2,1,2,0,0,0,1,1,"[2580, 2583]"
93-1-2580-1,93-1-2579-5,L,for/while,5,20,1,3,3,1,2,0,0,3,3,[2581]
93-1-2581-1,93-1-2580-1,D,Assignment,2,3,0,1,1,0,1,0,0,1,1,[]
93-1-2581-2,93-1-2580-1,B,if,0,2,0,0,0,0,0,0,0,0,0,[]
93-1-2581-3,93-1-2580-1,D,Assignment,2,1,0,2,0,1,1,0,0,0,0,[]
93-1-2581-4,93-1-2580-1,B,if,1,5,1,0,1,0,0,0,0,1,1,[2582]
93-1-2582-1,93-1-2581-4,D,Assignment,1,1,0,0,1,0,0,0,0,1,1,[]
93-1-2581-5,93-1-2580-1,D,Assignment,1,1,0,0,1,0,0,0,0,1,1,[]
93-1-2580-2,93-1-2579-5,B,if,0,5,0,0,0,0,0,0,0,0,0,[]
93-1-2583-1,93-1-2579-5,D,Assignment,1,2,0,2,1,2,0,0,0,1,1,[]
93-1-2583-2,93-1-2579-5,B,if,0,5,0,0,0,0,0,0,0,0,0,[]
93-1-2579-6,93-1-2578-1,D,Assignment,1,1,0,1,0,0,1,0,0,0,0,[]
93-1-2579-7,93-1-2578-1,D,Assignment,1,1,0,1,0,0,1,0,0,0,0,[]
93-1-2579-8,93-1-2578-1,D,Assignment,1,1,0,2,1,2,0,0,1,0,1,[]
