uniCode,parent,Tag,Name,num_childs,SizeLOC,Num_Code_Blocks,num_variables,num_calls,num_read_operations,num_write_operations,num_recursive_calls,num_local_calls,num_external_calls,Nested_Call_Depth,List_of_Code_Blocks
92-0-0-0,,C,backend.commands.async.c,25,1009,24,154,48,71,83,0,13,35,48,"[2499, 2502, 2504, 2506, 2508, 2510, 2512, 2515, 2522, 2527, 2531, 2533, 2539, 2541, 2543, 2545, 2549, 2555, 2559, 2561, 2565, 2569, 2572, 2574]"
92-0-2497-1,92-0-0-0,D,Assignment,1,1,0,1,0,0,1,0,0,0,0,[]
92-0-2497-2,92-0-0-0,D,Assignment,1,1,0,1,0,0,1,0,0,0,0,[]
92-0-2497-3,92-0-0-0,D,Assignment,1,1,0,1,0,0,1,0,0,0,0,[]
92-0-2497-4,92-0-0-0,D,Assignment,1,1,0,1,0,0,1,0,0,0,0,[]
92-0-2497-5,92-0-0-0,D,Assignment,1,1,0,1,0,0,1,0,0,0,0,[]
92-0-2497-6,92-0-0-0,D,Assignment,1,1,0,1,0,0,1,0,0,0,0,[]
92-0-2497-7,92-0-0-0,D,Assignment,1,1,0,1,0,0,1,0,0,0,0,[]
92-0-2497-8,92-0-0-0,D,Assignment,1,1,0,1,0,0,1,0,0,0,0,[]
92-1-0-0,92-0-0-0,F,Async_Notify,2,23,1,6,0,3,3,0,0,0,0,[2499]
92-1-2499-1,92-1-0-0,B,if,0,2,0,0,0,0,0,0,0,0,0,[]
92-1-2499-2,92-1-0-0,B,if,3,19,1,6,0,3,3,0,0,0,0,[2500]
92-1-2500-1,92-1-2499-2,D,Assignment,2,1,0,2,0,1,1,0,0,0,0,[]
92-1-2500-2,92-1-2499-2,D,Assignment,3,1,0,3,0,2,1,0,0,0,0,[]
92-1-2500-3,92-1-2499-2,D,Assignment,1,1,0,1,0,0,1,0,0,0,0,[]
92-2-0-0,92-0-0-0,F,queue_listen,6,19,1,9,0,3,6,0,0,0,0,[2502]
92-2-2502-1,92-2-0-0,D,Assignment,2,1,0,2,0,1,1,0,0,0,0,[]
92-2-2502-2,92-2-0-0,D,Assignment,1,1,0,1,0,0,1,0,0,0,0,[]
92-2-2502-3,92-2-0-0,D,Assignment,1,1,0,1,0,0,1,0,0,0,0,[]
92-2-2502-4,92-2-0-0,D,Assignment,1,1,0,1,0,0,1,0,0,0,0,[]
92-2-2502-5,92-2-0-0,D,Assignment,3,1,0,3,0,2,1,0,0,0,0,[]
92-2-2502-6,92-2-0-0,D,Assignment,1,1,0,1,0,0,1,0,0,0,0,[]
92-3-0-0,92-0-0-0,F,Async_Listen,2,4,1,0,1,0,0,0,1,0,1,[2504]
92-3-2504-1,92-3-0-0,B,if,0,2,0,0,0,0,0,0,0,0,0,[]
92-3-2504-2,92-3-0-0,D,Assignment,1,1,0,0,1,0,0,0,1,0,1,[]
92-4-0-0,92-0-0-0,F,Async_Unlisten,3,8,1,0,1,0,0,0,1,0,1,[2506]
92-4-2506-1,92-4-0-0,B,if,0,2,0,0,0,0,0,0,0,0,0,[]
92-4-2506-2,92-4-0-0,B,if,0,2,0,0,0,0,0,0,0,0,0,[]
92-4-2506-3,92-4-0-0,D,Assignment,1,1,0,0,1,0,0,0,1,0,1,[]
92-5-0-0,92-0-0-0,F,Async_UnlistenAll,3,8,1,0,1,0,0,0,1,0,1,[2508]
92-5-2508-1,92-5-0-0,B,if,0,2,0,0,0,0,0,0,0,0,0,[]
92-5-2508-2,92-5-0-0,B,if,0,2,0,0,0,0,0,0,0,0,0,[]
92-5-2508-3,92-5-0-0,D,Assignment,1,1,0,0,1,0,0,0,1,0,1,[]
92-6-0-0,92-0-0-0,F,Async_UnlistenOnExit,4,5,1,0,4,0,0,0,1,3,4,[2510]
92-6-2510-1,92-6-0-0,D,Assignment,1,1,0,0,1,0,0,0,0,1,1,[]
92-6-2510-2,92-6-0-0,D,Assignment,1,1,0,0,1,0,0,0,0,1,1,[]
92-6-2510-3,92-6-0-0,D,Assignment,1,1,0,0,1,0,0,0,1,0,1,[]
