uniCode,parent,Tag,Name,num_childs,SizeLOC,Num_Code_Blocks,num_variables,num_calls,num_read_operations,num_write_operations,num_recursive_calls,num_local_calls,num_external_calls,Nested_Call_Depth,List_of_Code_Blocks
90-0-0-0,,C,backend.commands.alter.c,4,247,3,5,1,1,4,0,0,1,1,"[2293, 2312, 2319]"
90-1-0-0,90-0-0-0,F,ExecRenameStmt,1,122,1,1,0,0,1,0,0,0,0,[2293]
90-1-2293-1,90-1-0-0,B,if-else/switch,8,122,17,1,0,0,1,0,0,0,0,"[2294, 2295, 2296, 2297, 2298, 2299, 2300, 2301, 2302, 2303, 2304, 2305, 2306, 2307, 2308, 2309, 2310]"
90-1-2295-1,90-1-2293-1,D,Assignment,1,1,0,2,1,2,0,0,0,1,1,[]
90-1-2296-1,90-1-2293-1,D,Assignment,1,1,0,2,1,2,0,0,0,1,1,[]
90-1-2298-1,90-1-2293-1,D,Assignment,1,1,0,2,1,2,0,0,0,1,1,[]
90-1-2301-1,90-1-2293-1,D,Assignment,1,1,0,2,1,2,0,0,0,1,1,[]
90-1-2302-1,90-1-2293-1,D,Assignment,1,1,0,2,1,2,0,0,0,1,1,[]
90-1-2303-1,90-1-2293-1,D,Assignment,1,1,0,2,1,2,0,0,0,1,1,[]
90-1-2309-1,90-1-2293-1,D,Assignment,1,1,0,2,1,2,0,0,0,1,1,[]
90-1-2310-1,90-1-2293-1,D,Assignment,1,2,0,1,0,0,1,0,0,0,0,[]
90-2-0-0,90-0-0-0,F,ExecAlterObjectSchemaStmt,1,29,1,1,0,0,1,0,0,0,0,[2312]
90-2-2312-1,90-2-0-0,B,if-else/switch,4,29,5,1,0,0,1,0,0,0,0,"[2313, 2314, 2315, 2316, 2317]"
90-2-2315-1,90-2-2312-1,D,Assignment,1,1,0,1,1,1,0,0,0,1,1,[]
90-2-2315-2,90-2-2312-1,D,Assignment,1,2,0,3,1,3,0,0,0,1,1,[]
90-2-2316-1,90-2-2312-1,D,Assignment,1,1,0,2,1,2,0,0,0,1,1,[]
90-2-2317-1,90-2-2312-1,D,Assignment,1,2,0,1,0,0,1,0,0,0,0,[]
90-3-0-0,90-0-0-0,F,ExecAlterOwnerStmt,2,74,1,3,1,1,2,0,0,1,1,[2319]
90-3-2319-1,90-3-0-0,D,Assignment,2,1,0,2,1,1,1,0,0,1,1,[]
90-3-2319-2,90-3-0-0,B,if-else/switch,8,72,16,1,0,0,1,0,0,0,0,"[2320, 2321, 2322, 2323, 2324, 2325, 2326, 2327, 2328, 2329, 2330, 2331, 2332, 2333, 2334, 2335]"
90-3-2321-1,90-3-2319-2,D,Assignment,1,1,0,1,1,1,0,0,0,1,1,[]
90-3-2322-1,90-3-2319-2,D,Assignment,1,1,0,1,1,1,0,0,0,1,1,[]
90-3-2324-1,90-3-2319-2,D,Assignment,1,1,0,1,1,1,0,0,0,1,1,[]
90-3-2325-1,90-3-2319-2,D,Assignment,1,1,0,1,0,0,1,0,0,0,0,[]
90-3-2328-1,90-3-2319-2,D,Assignment,1,1,0,1,1,1,0,0,0,1,1,[]
90-3-2329-1,90-3-2319-2,D,Assignment,1,1,0,1,1,1,0,0,0,1,1,[]
90-3-2330-1,90-3-2319-2,D,Assignment,1,1,0,1,1,1,0,0,0,1,1,[]
90-3-2335-1,90-3-2319-2,D,Assignment,1,2,0,1,0,0,1,0,0,0,0,[]
