Parent,uniCode,Tag,Name,num_childs,SizeLOC,Num_Code_Blocks,num_variables,num_calls,num_read_operations,num_write_operations,num_recursive_calls,num_local_calls,num_external_calls,Nested_Call_Depth,List_Code_Blocks
Root,100-0-0-0,C,backend.commands.explain.c,12,1306,11,159,14,79,80,8,1,5,14,"[3, 8, 12, 16, 18, 130, 133, 135, 137, 140, 143]"
100-0-0-0,100-0-1-1,D,Assignment,1,1,0,1,0,0,1,0,0,0,0,[]
100-0-0-0,100-0-1-2,D,Assignment,1,1,0,1,0,0,1,0,0,0,0,[]
100-0-0-0,100-1-0-0,F,ExplainQuery,4,44,1,5,1,2,3,0,1,0,1,[3]
100-1-0-0,100-1-3-1,D,Assignment,2,1,0,2,0,1,1,0,0,0,0,[]
100-1-0-0,100-1-3-2,D,Assignment,1,2,0,1,0,0,1,0,0,0,0,[]
100-1-0-0,100-1-3-3,D,Assignment,1,1,0,1,0,0,1,0,0,0,0,[]
100-1-0-0,100-1-3-4,B,if-else/switch,1,17,2,1,1,1,0,0,1,0,1,"[4, 5]"
100-1-3-4,100-1-5-1,L,for/while,2,8,1,1,1,1,0,0,1,0,1,[6]
100-1-5-1,100-1-6-1,D,Assignment,1,2,0,1,1,1,0,0,1,0,1,[]
100-1-5-1,100-1-6-2,B,if,0,2,0,0,0,0,0,0,0,0,0,[]
100-0-0-0,100-2-0-0,F,ExplainOneQuery,2,20,1,2,0,0,2,0,0,0,0,[8]
100-2-0-0,100-2-8-1,B,if,0,6,1,0,0,0,0,0,0,0,0,[9]
100-2-0-0,100-2-8-2,B,if-else/switch,2,12,1,2,0,0,2,0,0,0,0,[10]
100-2-8-2,100-2-10-1,D,Assignment,1,1,0,1,0,0,1,0,0,0,0,[]
100-2-8-2,100-2-10-2,D,Assignment,1,1,0,1,0,0,1,0,0,0,0,[]
100-0-0-0,100-3-0-0,F,report_triggers,2,36,1,12,1,7,5,0,0,1,1,[12]
100-3-0-0,100-3-12-1,B,if,0,2,0,0,0,0,0,0,0,0,0,[]
100-3-0-0,100-3-12-2,L,for/while,7,32,1,12,1,7,5,0,0,1,1,[13]
100-3-12-2,100-3-13-1,D,Assignment,3,1,0,3,0,2,1,0,0,0,0,[]
100-3-12-2,100-3-13-2,D,Assignment,3,1,0,3,0,2,1,0,0,0,0,[]
100-3-12-2,100-3-13-3,D,Assignment,1,1,0,0,1,0,0,0,0,1,1,[]
100-3-12-2,100-3-13-4,B,if,0,2,0,0,0,0,0,0,0,0,0,[]
100-3-12-2,100-3-13-5,B,if-else/switch,2,8,1,3,0,1,2,0,0,0,0,[14]
100-3-13-5,100-3-14-1,D,Assignment,2,1,0,2,0,1,1,0,0,0,0,[]
100-3-13-5,100-3-14-2,D,Assignment,1,1,0,1,0,0,1,0,0,0,0,[]
100-3-12-2,100-3-13-6,B,if,0,3,0,0,0,0,0,0,0,0,0,[]
100-3-12-2,100-3-13-7,D,Assignment,3,2,0,3,0,2,1,0,0,0,0,[]
100-0-0-0,100-4-0-0,F,elapsed_time,3,5,1,3,0,1,2,0,0,0,0,[16]
100-4-0-0,100-4-16-1,D,Assignment,1,1,0,1,0,0,1,0,0,0,0,[]
100-4-0-0,100-4-16-2,D,Assignment,1,1,0,1,0,0,1,0,0,0,0,[]
100-4-0-0,100-4-16-3,D,Assignment,1,1,0,1,0,1,0,0,0,0,0,[]
100-0-0-0,100-5-0-0,F,explain_outNode,18,686,1,92,8,54,38,8,0,0,8,[18]
100-5-0-0,100-5-18-1,B,if,1,5,1,1,0,0,1,0,0,0,0,[19]
100-5-18-1,100-5-19-1,D,Assignment,1,1,0,1,0,0,1,0,0,0,0,[]
100-5-0-0,100-5-18-2,B,if-else/switch,28,215,28,1,0,0,1,0,0,0,0,"[20, 21, 22, 23, 24, 25, 33, 41, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 67, 68, 69, 83, 84, 85]"
100-5-18-2,100-5-20-1,D,Assignment,1,1,0,1,0,0,1,0,0,0,0,[]
100-5-18-2,100-5-21-1,D,Assignment,1,1,0,1,0,0,1,0,0,0,0,[]
100-5-18-2,100-5-22-1,D,Assignment,1,1,0,1,0,0,1,0,0,0,0,[]
100-5-18-2,100-5-23-1,D,Assignment,1,1,0,1,0,0,1,0,0,0,0,[]
100-5-18-2,100-5-24-1,D,Assignment,1,1,0,1,0,0,1,0,0,0,0,[]
100-5-18-2,100-5-25-1,B,if-else/switch,7,24,7,1,0,0,1,0,0,0,0,"[26, 27, 28, 29, 30, 31, 32]"
100-5-25-1,100-5-26-1,D,Assignment,1,1,0,1,0,0,1,0,0,0,0,[]
100-5-25-1,100-5-27-1,D,Assignment,1,1,0,1,0,0,1,0,0,0,0,[]
100-5-25-1,100-5-28-1,D,Assignment,1,1,0,1,0,0,1,0,0,0,0,[]
100-5-25-1,100-5-29-1,D,Assignment,1,1,0,1,0,0,1,0,0,0,0,[]
100-5-25-1,100-5-30-1,D,Assignment,1,1,0,1,0,0,1,0,0,0,0,[]
100-5-25-1,100-5-31-1,D,Assignment,1,1,0,1,0,0,1,0,0,0,0,[]
100-5-25-1,100-5-32-1,D,Assignment,1,1,0,1,0,0,1,0,0,0,0,[]
