Parent,uniCode,Tag,Name,num_childs,sizeLOC,code_location,Num_Code_Blocks,num_variables,num_calls,num_read_operations,num_write_operations,num_recursive_calls,num_local_calls,num_external_calls,Nested_Call_Depth,List_Code_Blocks
Root,119-0-0-0,C,backend.commands.vacuumlazy.c,13,1146,1,12,279,57,150,129,0,10,47,57,"[2097, 2101, 2135, 2138, 2142, 2144, 2146, 2150, 2156, 2160, 2163, 2165]"
119-0-0-0,119-0-2095-1,D,Assignment,1,1,105,0,1,0,0,1,0,0,0,0,[]
119-0-0-0,119-1-0-0,F,lazy_vacuum_rel,22,114,151,1,33,7,22,11,0,2,5,7,[2097]
119-1-0-0,119-1-2097-1,D,Assignment,1,1,156,0,1,0,0,1,0,0,0,0,[]
119-1-0-0,119-1-2097-2,D,Assignment,1,1,159,0,1,0,0,1,0,0,0,0,[]
119-1-0-0,119-1-2097-3,D,Assignment,1,1,161,0,0,1,0,0,0,0,1,1,[]
119-1-0-0,119-1-2097-4,B,if,0,2,164,0,0,0,0,0,0,0,0,0,[]
119-1-0-0,119-1-2097-5,B,if-else/switch,0,4,167,0,0,0,0,0,0,0,0,0,[]
119-1-0-0,119-1-2097-6,D,Assignment,2,1,172,0,2,0,1,1,0,0,0,0,[]
119-1-0-0,119-1-2097-7,D,Assignment,1,3,174,0,5,1,5,0,0,0,1,1,[]
119-1-0-0,119-1-2097-8,D,Assignment,2,2,177,0,2,1,1,1,0,0,1,1,[]
119-1-0-0,119-1-2097-9,D,Assignment,1,1,180,0,1,0,0,1,0,0,0,0,[]
119-1-0-0,119-1-2097-10,D,Assignment,1,1,182,0,1,0,0,1,0,0,0,0,[]
119-1-0-0,119-1-2097-11,D,Assignment,2,1,183,0,2,0,1,1,0,0,0,0,[]
119-1-0-0,119-1-2097-12,D,Assignment,1,1,184,0,1,0,0,1,0,0,0,0,[]
119-1-0-0,119-1-2097-13,D,Assignment,2,1,188,0,2,0,1,1,0,0,0,0,[]
119-1-0-0,119-1-2097-14,D,Assignment,1,1,191,0,4,1,4,0,0,1,0,1,[]
119-1-0-0,119-1-2097-15,D,Assignment,3,1,208,0,3,0,2,1,0,0,0,0,[]
119-1-0-0,119-1-2097-16,B,if,2,8,209,1,2,1,1,1,0,1,0,1,[2098]
119-1-2097-16,119-1-2098-1,D,Assignment,1,1,214,0,1,0,0,1,0,0,0,0,[]
