Parent,uniCode,Tag,Name,num_childs,SizeLOC,Num_Code_Blocks,num_variables,num_calls,num_read_operations,num_write_operations,num_recursive_calls,num_local_calls,num_external_calls,Nested_Call_Depth,List_Code_Blocks
102-6-246-2,102-6-247-2,D,Assignment,2,1,0,2,0,1,1,0,0,0,0,[]
102-6-0-0,102-6-245-11,B,if-else/switch,1,9,1,1,0,0,1,0,0,0,0,[248]
102-6-245-11,102-6-248-1,D,Assignment,1,1,0,1,0,0,1,0,0,0,0,[]
102-6-0-0,102-6-245-12,B,if-else/switch,1,9,1,1,0,0,1,0,0,0,0,[249]
102-6-245-12,102-6-249-1,D,Assignment,1,1,0,1,0,0,1,0,0,0,0,[]
102-6-0-0,102-6-245-13,B,if,0,2,0,0,0,0,0,0,0,0,0,[]
102-6-0-0,102-6-245-14,B,if,0,2,0,0,0,0,0,0,0,0,0,[]
102-6-0-0,102-6-245-15,B,if,0,2,0,0,0,0,0,0,0,0,0,[]
102-6-0-0,102-6-245-16,B,if,0,2,0,0,0,0,0,0,0,0,0,[]
102-6-0-0,102-6-245-17,B,if,0,2,0,0,0,0,0,0,0,0,0,[]
102-6-0-0,102-6-245-18,B,if,2,8,1,1,0,0,1,0,0,0,0,[250]
102-6-245-18,102-6-250-1,D,Assignment,1,1,0,1,0,0,1,0,0,0,0,[]
102-6-245-18,102-6-250-2,B,if,0,4,0,0,0,0,0,0,0,0,0,[]
102-6-0-0,102-6-245-19,B,if,2,8,1,1,0,0,1,0,0,0,0,[251]
102-6-245-19,102-6-251-1,D,Assignment,1,1,0,1,0,0,1,0,0,0,0,[]
102-6-245-19,102-6-251-2,B,if,0,4,0,0,0,0,0,0,0,0,0,[]
102-0-0-0,102-7-0-0,F,compute_attributes_with_style,1,20,1,2,0,1,1,0,0,0,0,[253]
102-7-0-0,102-7-253-1,L,for/while,2,18,1,2,0,1,1,0,0,0,0,[254]
102-7-253-1,102-7-254-1,D,Assignment,2,1,0,2,0,1,1,0,0,0,0,[]
102-7-253-1,102-7-254-2,B,if-else/switch,0,13,0,0,0,0,0,0,0,0,0,[]
102-0-0-0,102-8-0-0,F,interpret_AS_clause,2,48,1,4,0,1,3,0,0,0,0,[256]
102-8-0-0,102-8-256-1,D,Assignment,1,1,0,1,0,0,1,0,0,0,0,[]
102-8-0-0,102-8-256-2,B,if-else/switch,6,46,2,3,0,1,2,0,0,0,0,"[257, 259]"
102-8-256-2,102-8-257-1,D,Assignment,2,1,0,2,0,1,1,0,0,0,0,[]
