Parent,uniCode,Tag,Name,num_childs,sizeLOC,code_location,Num_Code_Blocks,num_variables,num_calls,num_read_operations,num_write_operations,num_recursive_calls,num_local_calls,num_external_calls,Nested_Call_Depth,List_Code_Blocks
Root,121-0-0-0,C,backend.commands.view.c,8,450,1,7,95,21,47,48,1,4,16,21,"[2245, 2247, 2252, 2261, 2264, 2266, 2268]"
121-0-0-0,121-1-0-0,F,isViewOnTempTable,1,1,50,1,1,1,1,0,0,1,0,1,[2245]
121-1-0-0,121-1-2245-1,D,Assignment,1,1,50,0,1,1,1,0,0,1,0,1,[]
121-0-0-0,121-2-0-0,F,isViewOnTempTable_walker,2,32,56,1,10,3,6,4,1,0,2,3,[2247]
121-2-0-0,121-2-2247-1,B,if,0,2,56,0,0,0,0,0,0,0,0,0,[]
121-2-0-0,121-2-2247-2,B,if,3,25,59,1,10,3,6,4,1,0,2,3,[2248]
121-2-2247-2,121-2-2248-1,D,Assignment,2,1,61,0,2,0,1,1,0,0,0,0,[]
121-2-2247-2,121-2-2248-2,L,for/while,2,14,64,1,6,1,3,3,0,0,1,1,[2249]
121-2-2248-2,121-2-2249-1,D,Assignment,2,1,66,0,2,0,1,1,0,0,0,0,[]
121-2-2248-2,121-2-2249-2,B,if,3,9,68,1,4,1,2,2,0,0,1,1,[2250]
121-2-2249-2,121-2-2250-1,D,Assignment,2,1,70,0,2,1,1,1,0,0,1,1,[]
121-2-2249-2,121-2-2250-2,D,Assignment,2,1,71,0,2,0,1,1,0,0,0,0,[]
121-2-2249-2,121-2-2250-3,B,if,0,2,74,0,0,0,0,0,0,0,0,0,[]
121-2-2247-2,121-2-2248-3,D,Assignment,1,4,79,0,2,2,2,0,1,0,1,2,[]
121-0-0-0,121-3-0-0,F,DefineVirtualRelation,7,141,102,1,33,6,11,22,0,0,6,6,[2252]
121-3-0-0,121-3-2252-1,D,Assignment,1,1,104,0,1,0,0,1,0,0,0,0,[]
121-3-0-0,121-3-2252-2,D,Assignment,1,1,112,0,1,0,0,1,0,0,0,0,[]
121-3-0-0,121-3-2252-3,L,for/while,2,21,113,1,17,3,6,11,0,0,3,3,[2253]
121-3-2252-3,121-3-2253-1,D,Assignment,2,1,115,0,2,0,1,1,0,0,0,0,[]
121-3-2252-3,121-3-2253-2,B,if,10,16,117,1,15,3,5,10,0,0,3,3,[2254]
121-3-2253-2,121-3-2254-1,D,Assignment,1,1,119,0,1,0,0,1,0,0,0,0,[]
121-3-2253-2,121-3-2254-2,D,Assignment,2,1,121,0,2,0,1,1,0,0,0,0,[]
121-3-2253-2,121-3-2254-3,D,Assignment,2,2,122,0,3,3,2,1,0,0,3,3,[]
121-3-2253-2,121-3-2254-4,D,Assignment,1,1,124,0,1,0,0,1,0,0,0,0,[]
121-3-2253-2,121-3-2254-5,D,Assignment,1,1,125,0,1,0,0,1,0,0,0,0,[]
121-3-2253-2,121-3-2254-6,D,Assignment,1,1,126,0,1,0,0,1,0,0,0,0,[]
121-3-2253-2,121-3-2254-7,D,Assignment,1,1,127,0,1,0,0,1,0,0,0,0,[]
121-3-2253-2,121-3-2254-8,D,Assignment,1,1,128,0,1,0,0,1,0,0,0,0,[]
121-3-2253-2,121-3-2254-9,D,Assignment,1,1,129,0,1,0,0,1,0,0,0,0,[]
121-3-2253-2,121-3-2254-10,D,Assignment,3,1,131,0,3,0,2,1,0,0,0,0,[]
121-3-0-0,121-3-2252-4,B,if,0,4,135,0,0,0,0,0,0,0,0,0,[]
121-3-0-0,121-3-2252-5,D,Assignment,2,1,143,0,1,1,0,1,0,0,1,1,[]
121-3-0-0,121-3-2252-6,D,Assignment,2,1,144,0,2,1,1,1,0,0,1,1,[]
121-3-0-0,121-3-2252-7,B,if-else/switch,17,97,146,2,11,1,4,7,0,0,1,1,"[2255, 2259]"
121-3-2252-7,121-3-2255-1,D,Assignment,2,1,154,0,2,1,1,1,0,0,1,1,[]
121-3-2252-7,121-3-2255-2,B,if,0,5,159,0,0,0,0,0,0,0,0,0,[]
121-3-2252-7,121-3-2255-3,B,if,0,3,165,0,0,0,0,0,0,0,0,0,[]
121-3-2252-7,121-3-2255-4,D,Assignment,2,1,177,0,2,0,1,1,0,0,0,0,[]
121-3-2252-7,121-3-2255-5,D,Assignment,2,1,184,0,2,0,1,1,0,0,0,0,[]
121-3-2252-7,121-3-2255-6,D,Assignment,1,1,185,0,2,1,2,0,0,1,0,1,[]
121-3-2252-7,121-3-2255-7,B,if,4,22,192,1,13,1,6,7,0,0,1,1,[2256]
121-3-2255-7,121-3-2256-1,D,Assignment,1,1,194,0,1,0,0,1,0,0,0,0,[]
121-3-2255-7,121-3-2256-2,D,Assignment,2,1,196,0,2,0,1,1,0,0,0,0,[]
121-3-2255-7,121-3-2256-3,L,for/while,5,14,198,1,8,0,3,5,0,0,0,0,[2257]
121-3-2256-3,121-3-2257-1,B,if,1,5,202,1,1,0,0,1,0,0,0,0,[2258]
121-3-2257-1,121-3-2258-1,D,Assignment,1,1,204,0,1,0,0,1,0,0,0,0,[]
121-3-2256-3,121-3-2257-2,D,Assignment,1,1,207,0,1,0,0,1,0,0,0,0,[]
121-3-2256-3,121-3-2257-3,D,Assignment,1,1,208,0,1,0,0,1,0,0,0,0,[]
121-3-2256-3,121-3-2257-4,D,Assignment,2,1,209,0,2,0,1,1,0,0,0,0,[]
121-3-2256-3,121-3-2257-5,D,Assignment,3,1,210,0,3,0,2,1,0,0,0,0,[]
