Parent,uniCode,Tag,Name,num_childs,sizeLOC,code_location,Num_Code_Blocks,num_variables,num_calls,num_read_operations,num_write_operations,num_recursive_calls,num_local_calls,num_external_calls,Nested_Call_Depth,List_Code_Blocks
Root,101-0-0-0,C,backend.commands.foreigncmds.c,20,1120,1,19,278,79,130,148,0,13,66,79,"[148, 151, 159, 161, 164, 169, 171, 174, 179, 182, 184, 186, 190, 193, 195, 199, 201, 204, 209]"
101-0-0-0,101-1-0-0,F,optionListToArray,3,25,50,1,10,0,4,6,0,0,0,0,[148]
101-1-0-0,101-1-148-1,D,Assignment,1,1,50,0,1,0,0,1,0,0,0,0,[]
101-1-0-0,101-1-148-2,L,for/while,5,17,53,1,9,0,4,5,0,0,0,0,[149]
101-1-148-2,101-1-149-1,D,Assignment,2,1,55,0,2,0,1,1,0,0,0,0,[]
101-1-148-2,101-1-149-2,D,Assignment,2,1,61,0,2,0,1,1,0,0,0,0,[]
101-1-148-2,101-1-149-3,D,Assignment,2,1,62,0,2,0,1,1,0,0,0,0,[]
101-1-148-2,101-1-149-4,D,Assignment,1,1,64,0,1,0,0,1,0,0,0,0,[]
101-1-148-2,101-1-149-5,D,Assignment,2,3,66,0,2,0,1,1,0,0,0,0,[]
101-1-0-0,101-1-148-3,B,if,0,2,71,0,0,0,0,0,0,0,0,0,[]
101-0-0-0,101-2-0-0,F,transformGenericOptions,5,73,96,1,10,2,4,6,0,1,1,2,[151]
101-2-0-0,101-2-151-1,D,Assignment,2,1,96,0,1,1,0,1,0,0,1,1,[]
101-2-0-0,101-2-151-2,L,for/while,4,62,100,1,7,0,3,4,0,0,0,0,[152]
101-2-151-2,101-2-152-1,D,Assignment,2,1,102,0,2,0,1,1,0,0,0,0,[]
101-2-151-2,101-2-152-2,D,Assignment,1,1,104,0,1,0,0,1,0,0,0,0,[]
101-2-151-2,101-2-152-3,L,for/while,2,9,110,1,2,0,1,1,0,0,0,0,[153]
101-2-152-3,101-2-153-1,D,Assignment,2,1,112,0,2,0,1,1,0,0,0,0,[]
101-2-152-3,101-2-153-2,B,if-else/switch,0,4,114,0,0,0,0,0,0,0,0,0,[]
101-2-151-2,101-2-152-4,B,if-else/switch,7,35,126,4,2,0,1,1,0,0,0,0,"[154, 155, 156, 157]"
101-2-152-4,101-2-154-1,B,if,0,5,129,0,0,0,0,0,0,0,0,0,[]
101-2-152-4,101-2-154-2,D,Assignment,4,1,134,0,4,0,3,1,0,0,0,0,[]
101-2-152-4,101-2-155-1,B,if,0,5,138,0,0,0,0,0,0,0,0,0,[]
101-2-152-4,101-2-155-2,D,Assignment,2,1,143,0,2,0,1,1,0,0,0,0,[]
101-2-152-4,101-2-156-1,B,if,0,5,148,0,0,0,0,0,0,0,0,0,[]
101-2-152-4,101-2-156-2,D,Assignment,3,1,153,0,3,0,2,1,0,0,0,0,[]
101-2-152-4,101-2-157-1,D,Assignment,2,2,157,0,2,0,1,1,0,0,0,0,[]
101-2-0-0,101-2-151-3,D,Assignment,2,1,163,0,1,1,0,1,0,1,0,1,[]
101-2-0-0,101-2-151-4,B,if,0,2,165,0,0,0,0,0,0,0,0,0,[]
101-2-0-0,101-2-151-5,D,Assignment,1,1,168,0,1,0,1,0,0,0,0,0,[]
101-0-0-0,101-3-0-0,F,GetUserOidFromMapping,3,10,178,1,1,2,1,0,0,0,2,2,[159]
101-3-0-0,101-3-159-1,B,if,0,3,178,0,0,0,0,0,0,0,0,0,[]
101-3-0-0,101-3-159-2,B,if,0,3,182,0,0,0,0,0,0,0,0,0,[]
