Parent,uniCode,Tag,Name,num_childs,SizeLOC,Num_Code_Blocks,num_variables,num_calls,num_read_operations,num_write_operations,num_recursive_calls,num_local_calls,num_external_calls,Nested_Call_Depth,List_Code_Blocks
Root,110-0-0-0,C,backend.commands.schemacmds.c,8,400,7,76,32,36,40,0,2,30,32,"[636, 639, 645, 647, 649, 651, 653]"
110-0-0-0,110-1-0-0,F,CreateSchemaCommand,16,105,1,17,9,9,8,0,0,9,9,[636]
110-1-0-0,110-1-636-1,D,Assignment,2,1,0,2,0,1,1,0,0,0,0,[]
110-1-0-0,110-1-636-2,D,Assignment,2,1,0,2,0,1,1,0,0,0,0,[]
110-1-0-0,110-1-636-3,B,if-else/switch,0,4,0,0,0,0,0,0,0,0,0,[]
110-1-0-0,110-1-636-4,D,Assignment,1,1,0,1,0,0,1,0,0,0,0,[]
110-1-0-0,110-1-636-5,B,if,0,3,0,0,0,0,0,0,0,0,0,[]
110-1-0-0,110-1-636-6,D,Assignment,1,1,0,1,1,1,0,0,0,1,1,[]
110-1-0-0,110-1-636-7,B,if,0,5,0,0,0,0,0,0,0,0,0,[]
110-1-0-0,110-1-636-8,B,if,0,3,0,0,0,0,0,0,0,0,0,[]
110-1-0-0,110-1-636-9,D,Assignment,2,1,0,2,1,1,1,0,0,1,1,[]
110-1-0-0,110-1-636-10,D,Assignment,1,1,0,0,1,0,0,0,0,1,1,[]
110-1-0-0,110-1-636-11,D,Assignment,2,1,0,1,1,0,1,0,0,1,1,[]
110-1-0-0,110-1-636-12,D,Assignment,3,1,0,3,0,2,1,0,0,0,0,[]
110-1-0-0,110-1-636-13,D,Assignment,1,1,0,0,1,0,0,0,0,1,1,[]
110-1-0-0,110-1-636-14,D,Assignment,2,1,0,1,1,0,1,0,0,1,1,[]
110-1-0-0,110-1-636-15,L,for/while,3,14,1,4,2,3,1,0,0,2,2,[637]
110-1-636-15,110-1-637-1,D,Assignment,2,1,0,2,0,1,1,0,0,0,0,[]
110-1-636-15,110-1-637-2,D,Assignment,1,6,0,2,1,2,0,0,0,1,1,[]
110-1-636-15,110-1-637-3,D,Assignment,1,1,0,0,1,0,0,0,0,1,1,[]
110-1-0-0,110-1-636-16,D,Assignment,1,1,0,0,1,0,0,0,0,1,1,[]
110-0-0-0,110-2-0-0,F,RemoveSchemas,3,64,1,13,2,5,8,0,0,2,2,[639]
110-2-0-0,110-2-639-1,D,Assignment,1,1,0,1,0,0,1,0,0,0,0,[]
110-2-0-0,110-2-639-2,L,for/while,9,46,1,10,1,3,7,0,0,1,1,[640]
110-2-639-2,110-2-640-1,D,Assignment,2,1,0,2,0,1,1,0,0,0,0,[]
110-2-639-2,110-2-640-2,B,if,0,4,0,0,0,0,0,0,0,0,0,[]
110-2-639-2,110-2-640-3,D,Assignment,2,1,0,2,0,1,1,0,0,0,0,[]
110-2-639-2,110-2-640-4,D,Assignment,2,3,0,1,1,0,1,0,0,1,1,[]
110-2-639-2,110-2-640-5,B,if,1,17,1,1,0,0,1,0,0,0,0,[641]
110-2-640-5,110-2-641-1,B,if-else/switch,2,13,2,1,0,0,1,0,0,0,0,"[642, 643]"
110-2-641-1,110-2-642-1,D,Assignment,1,4,0,1,0,0,1,0,0,0,0,[]
110-2-641-1,110-2-643-1,D,Assignment,1,3,0,1,0,0,1,0,0,0,0,[]
110-2-639-2,110-2-640-6,B,if,0,3,0,0,0,0,0,0,0,0,0,[]
110-2-639-2,110-2-640-7,D,Assignment,1,1,0,1,0,0,1,0,0,0,0,[]
110-2-639-2,110-2-640-8,D,Assignment,2,1,0,2,0,1,1,0,0,0,0,[]
110-2-639-2,110-2-640-9,D,Assignment,1,1,0,1,0,0,1,0,0,0,0,[]
110-2-0-0,110-2-639-3,D,Assignment,1,1,0,2,1,2,0,0,0,1,1,[]
110-0-0-0,110-3-0-0,F,RemoveSchemaById,5,16,1,4,4,2,2,0,0,4,4,[645]
110-3-0-0,110-3-645-1,D,Assignment,2,1,0,1,1,0,1,0,0,1,1,[]
110-3-0-0,110-3-645-2,D,Assignment,2,3,0,1,1,0,1,0,0,1,1,[]
110-3-0-0,110-3-645-3,B,if,0,2,0,0,0,0,0,0,0,0,0,[]
110-3-0-0,110-3-645-4,D,Assignment,1,1,0,2,1,2,0,0,0,1,1,[]
110-3-0-0,110-3-645-5,D,Assignment,1,1,0,0,1,0,0,0,0,1,1,[]
110-0-0-0,110-4-0-0,F,RenameSchema,11,47,1,7,4,3,4,0,0,4,4,[647]
110-4-0-0,110-4-647-1,D,Assignment,2,1,0,1,1,0,1,0,0,1,1,[]
110-4-0-0,110-4-647-2,D,Assignment,2,3,0,1,1,0,1,0,0,1,1,[]
110-4-0-0,110-4-647-3,B,if,0,4,0,0,0,0,0,0,0,0,0,[]
110-4-0-0,110-4-647-4,B,if,0,7,0,0,0,0,0,0,0,0,0,[]
110-4-0-0,110-4-647-5,B,if,0,3,0,0,0,0,0,0,0,0,0,[]
110-4-0-0,110-4-647-6,D,Assignment,1,1,0,1,0,0,1,0,0,0,0,[]
110-4-0-0,110-4-647-7,B,if,0,3,0,0,0,0,0,0,0,0,0,[]
110-4-0-0,110-4-647-8,B,if,0,5,0,0,0,0,0,0,0,0,0,[]
110-4-0-0,110-4-647-9,D,Assignment,1,1,0,2,1,2,0,0,0,1,1,[]
110-4-0-0,110-4-647-10,D,Assignment,1,1,0,1,1,1,0,0,0,1,1,[]
110-4-0-0,110-4-647-11,D,Assignment,1,1,0,1,0,0,1,0,0,0,0,[]
110-0-0-0,110-5-0-0,F,AlterSchemaOwner_oid,5,16,1,4,4,2,2,0,1,3,4,[649]
110-5-0-0,110-5-649-1,D,Assignment,2,1,0,1,1,0,1,0,0,1,1,[]
110-5-0-0,110-5-649-2,D,Assignment,2,3,0,1,1,0,1,0,0,1,1,[]
110-5-0-0,110-5-649-3,B,if,0,2,0,0,0,0,0,0,0,0,0,[]
110-5-0-0,110-5-649-4,D,Assignment,1,1,0,2,1,2,0,0,1,0,1,[]
110-5-0-0,110-5-649-5,D,Assignment,1,1,0,0,1,0,0,0,0,1,1,[]
110-0-0-0,110-6-0-0,F,AlterSchemaOwner,5,18,1,4,4,2,2,0,1,3,4,[651]
110-6-0-0,110-6-651-1,D,Assignment,2,1,0,1,1,0,1,0,0,1,1,[]
110-6-0-0,110-6-651-2,D,Assignment,2,3,0,1,1,0,1,0,0,1,1,[]
