Parent,uniCode,Tag,Name,num_childs,SizeLOC,Num_Code_Blocks,num_variables,num_calls,num_read_operations,num_write_operations,num_recursive_calls,num_local_calls,num_external_calls,Nested_Call_Depth,List_Code_Blocks
Root,106-0-0-0,C,backend.commands.operatorcmds.c,7,397,6,92,22,42,50,0,2,20,22,"[517, 524, 527, 529, 531, 533]"
106-0-0-0,106-1-0-0,F,DefineOperator,26,214,1,50,5,19,31,0,0,5,5,[517]
106-1-0-0,106-1-517-1,D,Assignment,1,1,0,1,0,0,1,0,0,0,0,[]
106-1-0-0,106-1-517-2,D,Assignment,1,1,0,1,0,0,1,0,0,0,0,[]
106-1-0-0,106-1-517-3,D,Assignment,1,1,0,1,0,0,1,0,0,0,0,[]
106-1-0-0,106-1-517-4,D,Assignment,1,1,0,1,0,0,1,0,0,0,0,[]
106-1-0-0,106-1-517-5,D,Assignment,1,1,0,1,0,0,1,0,0,0,0,[]
106-1-0-0,106-1-517-6,D,Assignment,1,1,0,1,0,0,1,0,0,0,0,[]
106-1-0-0,106-1-517-7,D,Assignment,1,1,0,1,0,0,1,0,0,0,0,[]
106-1-0-0,106-1-517-8,D,Assignment,1,1,0,1,0,0,1,0,0,0,0,[]
106-1-0-0,106-1-517-9,D,Assignment,1,1,0,1,0,0,1,0,0,0,0,[]
106-1-0-0,106-1-517-10,D,Assignment,1,1,0,1,0,0,1,0,0,0,0,[]
106-1-0-0,106-1-517-11,D,Assignment,1,1,0,1,0,0,1,0,0,0,0,[]
106-1-0-0,106-1-517-12,D,Assignment,2,1,0,2,1,1,1,0,0,1,1,[]
106-1-0-0,106-1-517-13,D,Assignment,1,1,0,1,0,0,1,0,0,0,0,[]
106-1-0-0,106-1-517-14,B,if,0,3,0,0,0,0,0,0,0,0,0,[]
106-1-0-0,106-1-517-15,L,for/while,2,49,1,3,0,1,2,0,0,0,0,[518]
106-1-517-15,106-1-518-1,D,Assignment,2,1,0,2,0,1,1,0,0,0,0,[]
106-1-517-15,106-1-518-2,B,if-else/switch,2,44,1,1,0,0,1,0,0,0,0,[519]
106-1-518-2,106-1-519-1,D,Assignment,1,1,0,1,0,0,1,0,0,0,0,[]
106-1-518-2,106-1-519-2,B,if,0,4,0,0,0,0,0,0,0,0,0,[]
106-1-0-0,106-1-517-16,B,if,0,4,0,0,0,0,0,0,0,0,0,[]
106-1-0-0,106-1-517-17,B,if,0,2,0,0,0,0,0,0,0,0,0,[]
106-1-0-0,106-1-517-18,B,if,0,2,0,0,0,0,0,0,0,0,0,[]
106-1-0-0,106-1-517-19,B,if,0,4,0,0,0,0,0,0,0,0,0,[]
106-1-0-0,106-1-517-20,B,if-else/switch,1,16,1,2,0,1,1,0,0,0,0,[520]
106-1-517-20,106-1-520-1,D,Assignment,2,1,0,2,0,1,1,0,0,0,0,[]
106-1-0-0,106-1-517-21,D,Assignment,2,1,0,3,1,2,1,0,0,1,1,[]
106-1-0-0,106-1-517-22,D,Assignment,1,1,0,1,0,0,1,0,0,0,0,[]
106-1-0-0,106-1-517-23,B,if,0,3,0,0,0,0,0,0,0,0,0,[]
106-1-0-0,106-1-517-24,B,if-else/switch,8,24,1,8,1,2,6,0,0,1,1,[521]
106-1-517-24,106-1-521-1,D,Assignment,1,1,0,1,0,0,1,0,0,0,0,[]
106-1-517-24,106-1-521-2,D,Assignment,1,1,0,1,0,0,1,0,0,0,0,[]
106-1-517-24,106-1-521-3,D,Assignment,1,1,0,1,0,0,1,0,0,0,0,[]
106-1-517-24,106-1-521-4,D,Assignment,1,1,0,1,0,0,1,0,0,0,0,[]
106-1-517-24,106-1-521-5,D,Assignment,2,1,0,3,1,2,1,0,0,1,1,[]
106-1-517-24,106-1-521-6,B,if,0,5,0,0,0,0,0,0,0,0,0,[]
106-1-517-24,106-1-521-7,D,Assignment,1,1,0,1,0,0,1,0,0,0,0,[]
106-1-517-24,106-1-521-8,B,if,0,3,0,0,0,0,0,0,0,0,0,[]
106-1-0-0,106-1-517-25,B,if-else/switch,11,35,1,9,1,2,7,0,0,1,1,[522]
106-1-517-25,106-1-522-1,D,Assignment,1,1,0,1,0,0,1,0,0,0,0,[]
106-1-517-25,106-1-522-2,D,Assignment,1,1,0,1,0,0,1,0,0,0,0,[]
106-1-517-25,106-1-522-3,D,Assignment,1,1,0,1,0,0,1,0,0,0,0,[]
106-1-517-25,106-1-522-4,D,Assignment,1,1,0,1,0,0,1,0,0,0,0,[]
106-1-517-25,106-1-522-5,D,Assignment,1,1,0,1,0,0,1,0,0,0,0,[]
106-1-517-25,106-1-522-6,D,Assignment,2,1,0,3,1,2,1,0,0,1,1,[]
106-1-517-25,106-1-522-7,B,if,0,2,0,0,0,0,0,0,0,0,0,[]
106-1-517-25,106-1-522-8,B,if,0,2,0,0,0,0,0,0,0,0,0,[]
106-1-517-25,106-1-522-9,B,if,0,5,0,0,0,0,0,0,0,0,0,[]
106-1-517-25,106-1-522-10,D,Assignment,1,1,0,1,0,0,1,0,0,0,0,[]
